PK,실소유(연)면적,공부면적,건물구분,건물용도,준공년도,20년 4월,20년 5월,20년 6월,20년 7월,20년 8월,20년 9월,20년 10월,20년 11월,20년 12월,21년 1월,21년 2월,21년 3월,21년 4월,21년 5월,21년 6월,21년 7월,21년 8월,21년 9월,평균
11140-100196536,1260.28,1260.28,기타,문화 및 집회시설,20131130,19.40352089,24.25725992,28.85767724,30.98773949,35.39772878,26.51339537,23.53255339,21.22089363,19.06475275,21.50686921,18.34080857,20.65011776,20.23041374,52.7107342,64.44319761,36.87687338,35.05924652,30.66555241,529.7193349
11140-100196536,2057.93,2057.93,기타,문화 및 집회시설,20131130,19.40352089,24.25725992,28.85767724,30.98773949,35.39772878,26.51339537,23.53255339,21.22089363,19.06475275,21.50686921,18.34080857,20.65011776,20.23041374,52.7107342,64.44319761,36.87687338,35.05924652,30.66555241,529.7193349
11140-100220257,3195.83,3195.83,기타,판매 및 영업시설,20150415,5.545038378,5.555364334,5.916772795,5.732626579,5.961518604,5.792000826,5.684438784,4.677658073,4.132963894,3.777578908,3.6149451,3.876535986,3.557291846,6.982067256,7.341754724,3.526313978,3.413588958,3.407565484,88.49602451
11140-163,58368.44,58368.44,사무소,자동차관련시설,,6.834641783,7.214344104,9.378545539,10.12573456,10.68154546,9.266568983,7.554345647,6.692126166,6.854831495,7.378661217,6.446795712,7.584884707,7.5981183,14.11718979,17.81648801,10.66831187,10.58076656,9.340329297,166.1342292
11140-100220474,2553.23,2553.23,기타,판매 및 영업시설,20150415,2.203679261,2.186446188,2.386780666,2.315694238,2.381395331,2.438479886,2.386780666,2.156288309,2.300615299,2.416938545,88.9538937,76.51376883,73.91696009,141.2939688,179.4609181,115.5068286,140.2395201,122.9827513,962.0417079
11140-1314,13840.65,13840.65,기타,제1종 근린생활시설,,18.10857656,15.87263934,19.72571197,19.14090698,21.64325206,20.2321851,15.08146767,18.82877241,24.69859223,29.1185768,25.24423129,17.22137878,15.09727321,26.7586804,31.26137068,20.07641604,21.71939699,16.59323281,376.4226613
11140-1314,4906.88,4906.88,기타,제1종 근린생활시설,,18.10857656,15.87263934,19.72571197,19.14090698,21.64325206,20.2321851,15.08146767,18.82877241,24.69859223,29.1185768,25.24423129,17.22137878,15.09727321,26.7586804,31.26137068,20.07641604,21.71939699,16.59323281,376.4226613
11140-17736,67130.26,67130.26,사무소,자동차관련시설,19930713,15.91261899,16.58043258,19.88390184,20.61156548,17.68321395,19.70558061,14.84854967,15.9843899,18.86640987,21.13010213,16.48727787,17.36171959,16.36581625,33.18659126,37.95747253,23.1133471,18.70529401,17.17356673,361.5578504
11140-100196692,67130.26,67130.26,사무소,자동차관련시설,20091029,11.97587973,10.3100391,9.62553004,15.81942838,15.36813701,17.06426565,13.02687373,12.82394405,18.43631257,20.04763478,18.96635277,14.49584228,12.32116306,21.89823228,21.51054573,16.23740294,18.44842778,15.51654827,283.8925602
11140-100207753,12928.05,12928.05,기타,공장,20120307,11.53259772,12.63914511,19.46306674,19.89658146,20.17247381,19.63728095,14.37150228,19.69003446,30.43643473,36.76536678,27.89958656,21.48854622,15.92028574,31.24156389,42.73119303,29.7855245,25.00920479,20.72659837,419.4069871
11140-100218057,3235.13,3235.13,기타,판매 및 영업시설,20150105,0.392719922,0.410570827,0.415671086,0.437772207,0.436072121,0.413971,0.396120094,0.419921301,0.45222294,0.521076433,0.491324924,0.409720784,0.449672811,0.812641223,0.800740619,0.418221215,0.420771345,0.37316893,8.472379782
11140-185,13433.8,13433.8,사무소,문화 및 집회시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-185,7146.3,7683,사무소,업무시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-185,2017.72,2017.72,사무소,업무시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-185,22436.52,22436.52,사무소,업무시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-185,13766.98,13766.98,사무소,업무시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-185,2454.86,2454.86,사무소,업무시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-185,4498.67,4498.67,사무소,업무시설,,23.47758277,21.60561765,28.93954587,30.86827401,33.31454974,31.86575659,21.31666066,24.1547308,29.00327269,30.25226161,28.79464227,22.64796002,22.52941357,42.02633757,57.63228191,33.16223698,34.84338603,31.01329908,547.4478098
11140-203,3776.6,3776.6,기타,기타,,4.24654867,3.852422376,3.895409744,4.332523407,5.038873745,5.453362476,4.377924101,6.158355318,7.072855019,7.618266683,7.71841971,5.989422502,5.146719248,9.831286577,10.47504127,6.429552822,6.660176282,5.958049265,110.2552092
11140-203,6876.52,6876.52,기타,기타,,4.24654867,3.852422376,3.895409744,4.332523407,5.038873745,5.453362476,4.377924101,6.158355318,7.072855019,7.618266683,7.71841971,5.989422502,5.146719248,9.831286577,10.47504127,6.429552822,6.660176282,5.958049265,110.2552092
11170-22587,6945.13,6945.13,기타,교육연구 및 복지시설,19690215,8.929710459,7.21282395,8.03879841,9.267465116,14.51711487,12.54087396,6.464061868,10.61294029,15.4852393,20.07759394,22.69331172,18.243503,14.48583396,20.94949987,20.61847654,15.32527109,21.44049139,15.17282614,262.0758359
11170-7377,1300.54,1300.54,사무소,제2종 근린생활시설,20030620,21.0033909,17.73013517,18.83602196,23.08617959,27.48223815,31.76834238,18.76835776,17.60960832,20.65661187,27.21158134,24.46060867,21.45589524,20.24216864,33.1554585,33.67562705,23.44987467,40.2919172,26.86268781,447.7467052
11170-15697,1343.71,1343.71,사무소,문화 및 집회시설,19641221,12.40712612,10.12155104,10.72644031,16.84823495,20.10714977,19.26188105,12.21403443,12.96275731,17.75261337,21.00364689,19.76628383,15.00992326,14.87988192,25.57479706,28.03376059,20.22536917,27.22001705,21.94546145,326.0609296
11170-20159,3414,3414,기타,운동시설,19831215,0,0,0,0.000805483,0,0.002416449,0.006443865,0,0.000805483,0,0.000805483,0,0,0.001610966,0,0.000805483,0,0,0.013693212
11170-7883,5305.58,5223.27,사무소,업무시설,20051231,17.3067789,13.67904169,13.91073172,16.15558525,18.63368378,19.00635746,11.75347464,14.92819824,20.84277308,30.22855183,26.24317228,20.56495237,16.16698834,25.8445825,26.87604371,18.78399723,25.31796712,17.84687065,354.0897508
11170-13242,20911.89,20911.89,기타,자동차관련시설,19881227,3.259592988,2.974755032,3.036167463,3.014732289,3.16648806,3.209358408,2.821684219,3.193709416,3.832951015,4.947054044,5.040027468,3.723802583,3.386362973,6.122832513,6.235926069,3.055893083,3.357563568,3.070490042,67.44939123
11170-100217520,8126.17,8126.17,기타,업무시설,20191223,0.739093571,0.969214279,0.879196473,0.850431384,0.863629484,0.835541221,0.995272065,1.003732386,0.873443455,1.056524784,1.105933053,0.840617413,0.927927917,1.915416488,1.910678708,0.961769198,1.005762862,1.023021916,18.75720666
11170-100208180,2995.54,2995.54,기타,교육연구 및 복지시설,,8.419179944,7.159220256,9.208428785,11.84030954,14.86484356,15.66670776,7.539258159,10.02842758,13.28161511,14.09215238,13.14678839,9.568755179,8.621025801,15.65566932,22.3386595,14.49820948,19.65631729,16.04438028,231.6299483
11170-100205657,5293.07,10586.13,기타,자동차관련시설,20160411,5.619688215,5.240678133,4.755940084,5.171058734,6.222103828,6.122090887,5.214440971,6.055848549,7.254445203,9.201969936,8.294320021,5.410310472,5.057537551,9.825687007,10.14780661,5.717103417,7.129753744,7.244573796,119.6853572
11170-100186402,2966,2966.55,기타,교육연구 및 복지시설,20091009,17.68813942,14.48070992,16.38291955,19.09532959,18.17666987,15.23807116,10.75415887,16.78709275,24.65085706,27.28354486,24.23370582,16.33935042,13.85591006,23.86290472,26.44924239,17.25801015,16.25777418,12.64524448,331.4396353
11170-100183893,3254.7,3254.7,사무소,교육연구 및 복지시설,19851205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11170-100183893,1467.98,1467.98,기타,교육연구 및 복지시설,19851205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11170-100183893,1393.22,1393.22,기타,교육연구 및 복지시설,19851205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11170-100191412,29625.82,29625.82,기타,문화 및 집회시설,20110824,8.738314528,14.28882879,16.78590567,17.39135681,18.98189332,15.48336753,15.03173371,14.30519233,13.97792145,18.96225707,18.54962303,14.55464548,14.05310284,28.93129196,37.17833652,21.47769748,21.77396854,18.29944261,328.7648797
11200-4433,10400,10400,기타,교육연구 및 복지시설,20050808,26.97003829,19.92327136,18.44025636,25.82651183,25.55365188,28.5749413,17.09234935,20.08085327,31.88865622,48.32212281,43.77842291,31.27921611,23.52465258,37.56900819,34.51414007,24.09416841,34.02235759,25.10205808,516.5566766
11200-4506,1606.62,1606.62,기타,의료시설,20050808,34.53632349,26.01018847,30.09149421,38.06043813,39.88440558,41.8702918,31.98372153,32.94412215,43.56408924,62.82289953,62.68796721,42.05125985,34.10295264,58.93843623,68.87262966,39.9463157,51.19173377,40.34317546,779.9024447
11200-100243337,3533.7,3533.7,기타,의료시설,,33.21884334,18.67146681,17.41507184,19.71671554,19.54225784,23.11527141,14.65444714,27.37338713,46.79809192,65.25392002,67.23210566,42.96526365,28.06972046,31.30504981,32.16311217,20.78966786,31.42784408,23.35112625,563.0633629
11200-6754,1362.01,1362.01,기타,교육연구 및 복지시설,19911231,4.363220534,3.028612125,2.41885155,3.048802872,3.705002166,3.977577257,2.562205858,3.341568711,5.390929582,8.165138288,8.304454446,6.313646743,4.516670215,5.988575708,5.657447449,3.660582521,4.678196195,4.137084162,83.25856638
11200-6757,5740.24,5740.24,기타,문화 및 집회시설,20050921,8.974973172,7.630212326,9.71370535,10.3532692,15.8630998,16.25546144,13.79733252,12.09134984,12.5756937,12.77786295,14.8479419,13.04422812,10.65316955,19.78384179,26.332784,19.3296796,22.12459758,20.75779933,266.9070022
11200-7354,2675.17,2675.17,기타,교육연구 및 복지시설,20000726,14.79251786,11.16069259,12.36136395,16.37045496,19.06990958,19.84602848,11.84532198,15.66526613,22.39848309,29.63026649,34.38258129,18.37500047,13.52811223,22.53109148,24.39377684,16.71893749,22.41493064,16.87210532,342.3568409
11200-1159,5733.16,5733.16,기타,교육연구 및 복지시설,20040524,19.79495253,16.74672515,20.09019447,27.55714486,28.51216513,31.38951153,20.44074572,19.30867739,23.39588448,27.25068566,27.98796501,21.2780577,21.61205014,40.19592799,54.63287053,30.12327322,37.24821884,32.0497269,499.6147773
11200-100184552,1090.01,1090.01,기타,운동시설,20100401,0.875450684,0.792194567,0.744259227,0.630728158,0.628205246,0.764442528,0.547472042,0.666048935,0.630728158,0.608021945,0.880496509,17.31979523,12.67259016,1.205952239,1.03439418,0.557563692,8.436619848,12.1604389,61.15540225
11200-100228777,5424.67,5218.62,사무소,업무시설,20180225,16.55119113,14.3393976,15.63920017,21.5055478,24.87114424,25.9565098,14.63900108,14.99436832,17.92145882,24.85644288,24.74947785,17.59498734,15.67772786,27.50167291,29.65314019,22.29181683,29.41639768,22.10424782,380.2637303
11200-897,2010.38,2010.38,사무소,업무시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-897,1440,1440,기타,공공용시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-897,4266.36,4266.36,기타,공공용시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-897,4083.3,4083.3,기타,공공용시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-897,2228.28,2228.28,기타,공공용시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-897,1459.94,1459.94,기타,공공용시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-897,1692.45,1692.45,기타,공공용시설,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200-1239,2307.78,2307.78,사무소,관광휴게시설,20050726,41.90235159,37.21644969,41.5202406,40.71761413,44.44478492,45.39053034,42.45327661,48.51428075,54.83057812,66.36049395,66.86002877,54.67861786,46.17464529,83.79088861,80.46544549,40.27002208,48.10757983,40.83918234,924.537011
11200-1239,1801.43,1801.43,기타,관광휴게시설,20050726,41.90235159,37.21644969,41.5202406,40.71761413,44.44478492,45.39053034,42.45327661,48.51428075,54.83057812,66.36049395,66.86002877,54.67861786,46.17464529,83.79088861,80.46544549,40.27002208,48.10757983,40.83918234,924.537011
11200-399,3285.87,3285.87,사무소,자원순환 관련 시설,,22.15822735,19.64407167,22.18712647,21.26410222,17.74647522,22.77357685,20.73618934,24.0725584,23.87698533,25.23080799,22.5772645,20.80763064,22.53862034,38.81029986,40.781085,20.24356026,20.08192685,20.08824433,425.6187526
11200-399,1503,1503,기타,공공용시설,,22.15822735,19.64407167,22.18712647,21.26410222,17.74647522,22.77357685,20.73618934,24.0725584,23.87698533,25.23080799,22.5772645,20.80763064,22.53862034,38.81029986,40.781085,20.24356026,20.08192685,20.08824433,425.6187526
11200-399,1500,1500,기타,자원순환 관련 시설,,22.15822735,19.64407167,22.18712647,21.26410222,17.74647522,22.77357685,20.73618934,24.0725584,23.87698533,25.23080799,22.5772645,20.80763064,22.53862034,38.81029986,40.781085,20.24356026,20.08192685,20.08824433,425.6187526
